Given the tweet "Combien de soignants ont leur schéma vaccinal anti-covid complet ?"; return a list of possible hashtags,#foutagedegueule
Given the tweet "Advocacy of helping bank corrupt  is gaining ground in India and usual liberal gang has started making noise.I would suggest buy more locks and seal all windows and lay more minefield. This virus is more dangerous than covid."; return a list of possible hashtags,#Pakistan
Given the tweet "PLS Alberta: Here is a list of Preston Manning’s COVID panel. WHO ARE THEY? 1. Dr Martha Fulford -At"; return a list of possible hashtags,#WomenAgainstUCP
Given the tweet "maange poori karo1) New calender of NTPC JE TT ALP GRP D recruitment a"; return a list of possible hashtags,#RailwayNewRojgarDo #RailwayNewRojgarDo
Given the tweet "Fin de l'obligation vaccinale du Covid pour les  en France?Que vous soyiez défaitiste ou pas, dites-vous bien que c"; return a list of possible hashtags,#soignants
Given the tweet "Recall they wanted to ice flow Grammy &amp; Grampy during the early days of  to "save" the economy.Disgusting. YESSurprising. NO"; return a list of possible hashtags,#COVID
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
Given the tweet "Brexshit, covid, malicious and corrupt government - a treble whammy isn't it?"; return a list of possible hashtags,#fascism
Given the tweet "maange poori karo1) New calender of NTPC JE TT ALP GRP D recruitment a"; return a list of possible hashtags,#RailwayNewRojgarDo #RailwayNewRojgarDo
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
Given the tweet "Día 1.071Lucha contra la COVID-19: Venezuela registra13 nuevos contagios en las últimas 24 horas"; return a list of possible hashtags,#FestivalDeCarnavales20
Given the tweet "While most people recover quickly from COVID-19, some people may have ongoing symptoms. On iThrive, you can now find organisations, resources, and information related to Long COVID."; return a list of possible hashtags,#LongCovid #Wellbeing #Edinburgh
Given the tweet "@Rahu"; return a list of possible hashtags,#RailwayNewBhartiDo #RailwayNewRojgarDo
Given the tweet "Para más información, click en el siguiente enlace"; return a list of possible hashtags,#NOTISDOM
Given the tweet "@Rahu"; return a list of possible hashtags,#RailwayNewBhartiDo #RailwayNewRojgarDo
Given the tweet "Thrilled to share my first "deep dive" research post for my newsletter on microclots in ! Please check it out to l"; return a list of possible hashtags,#longCOVID
Given the tweet "Thrilled to share my first "deep dive" research post for my newsletter on microclots in ! Please check it out to l"; return a list of possible hashtags,#longCOVID
Given the tweet "Día 1.071Lucha contra la COVID-19: Venezuela registra13 nuevos contagios en las últimas 24 horas"; return a list of possible hashtags,#FestivalDeCarnavales20
Given the tweet "أوقفت (WHO) إجراء مزيد من التحقيقات في أصل الفيروس التاجيوبسبب العراقيل في جمع التحقيقمنظمة الصحة خططت لتنفيذ العمل على مراحل لكن الخطة قد تغيرتلان الأحداث السياسية في جميع أنحاء العالم اعاقت التقدم في معرفة أصول  يعلن عن مرحلة ثانيه"; return a list of possible hashtags,#منظمة_الصحة_العالمية #COVID_19
Given the tweet "Est ce enfin la fin de cet acharnement stupide et dangereux ?"; return a list of possible hashtags,#JusticePourLesSuspendus
Given the tweet "Most ppl teach our children not to follow the crowd,to think for themselves. How many times did you hear your parents say,"If all your friends jumped off a cliff,would you?"Yet many ppl followed the crowd pertaining to covid rules and restrictions without thinking"; return a list of possible hashtags,#MassFormation
Given the tweet "El bloqueo impuesto por el Gobierno de los Estados Unidos a  se recrudeció en medio de la pandemia de la Covid 19,"; return a list of possible hashtags,#Cuba
Given the tweet "My latest report for is a must-read I analysed the first EU safety update report for   va"; return a list of possible hashtags,#Pfizer #BioNTech
Given the tweet "La victoire n'est qu'une question de temps Suivez-nous sur Twitter pour soutenir notre combat pour les"; return a list of possible hashtags,#SoignantsSus
Given the tweet "unter Hersteller  begeht glasklaren Betrug und gefährdet Menschenleben. Nur wenige  wie @weltwoche"; return a list of possible hashtags,#BigPharma #Pfizer #Medien
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
Given the tweet "@Rahu"; return a list of possible hashtags,#RailwayNewBhartiDo #RailwayNewRojgarDo
Given the tweet "SITUACION POR , al 18-Feb (10pm) Positividad día (118) 1.5% Positividad prom. (149) 1.5% Hospitalizados 94 (-5) Ocupación UCI 49 (-2) Recuperados 4 211 847 (14)  Fallecidos Covid 219 344 (12)"; return a list of possible hashtags,#COVID19
Given the tweet "Paese che vai  che trovi...Florida warns patients they could suffer HEAATTACK from Covid shot "; return a list of possible hashtags,#lascienza
Given the tweet "„Die  geht nicht ins Blut“ sagte der Ex-Gesundheitsminister ⁦(war damals schon falsch, wusste man)"; return a list of possible hashtags,#Impfung
Given the tweet "Die  in Bayern: Die aktuelle Welle der -Hospitalisierungen ist die zweithöchste Welle der gesamten Pandemie, T"; return a list of possible hashtags,#CSUWelle #Covid
Given the tweet "Un forte ridimensionamento degli standard di vita colpirà le classi medie e lavoratrici:   e  sono es"; return a list of possible hashtags,#Covid #green #guerra
Given the tweet "Si vas a viajar en esta temporada de vacaciones carnestolendas, la te recuerda"; return a list of possible hashtags,#CarnavalesFelices2023
Given the tweet "Paese che vai  che trovi...Florida warns patients they could suffer HEAATTACK from Covid shot "; return a list of possible hashtags,#lascienza
Given the tweet "Unacceptable. please confirm whether this is true ASAP. Our  has gone above and beyond to pro"; return a list of possible hashtags,#HeartOfTheEast
Given the tweet "nuevos contagios de covid-19 confirmados en las últimas 24 horas."; return a list of possible hashtags,#FestivalDeCarnavales2023
Given the tweet "People didn't die from COVID. They were murdered by the greedy, industrial medical complex"; return a list of possible hashtags,#COVIDVACCINE #BigPharma #dieds
Given the tweet "Unacceptable. please confirm whether this is true ASAP. Our  has gone above and beyond to pro"; return a list of possible hashtags,#HeartOfTheEast
Given the tweet "Re-TweetURGENCE  défit  ? Se réservant toutefois son avis  pour la fin du mois de mars pourquoi"; return a list of possible hashtags,#HAS #EMacron #définitif
Given the tweet "As someone who, checks notes, has nothing to do with science or the understanding of how the body works, I’m sure Covid is fake and this is a one off"; return a list of possible hashtags,#AntiVaxxersAreIdiots
Given the tweet "„Die  geht nicht ins Blut“ sagte der Ex-Gesundheitsminister ⁦(war damals schon falsch, wusste man)"; return a list of possible hashtags,#Impfung
Given the tweet "Moment more than 37 MLAs from ,moved over to ,anti defection law ceased to applyUddhav di"; return a list of possible hashtags,#UddhavThackeray #EknathShinde
Given the tweet "us, the entire world is one family. We have helped citizens of other nations during Covid :PM Modi. via NaMo App"; return a list of possible hashtags,#OperationDost
Given the tweet "Lol, read the article!!!940,000 Covid deaths in the US and on 1,298 were between the ages of 0-19!  Twelve hundred and ninety eight!!That's .0013% death rate for people under the age of 19!!  You still believe Covid is a leading cause of death for children??"; return a list of possible hashtags,#NPRLies
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
Given the tweet "We have helped citizens of other nations during Covid :PM"; return a list of possible hashtags,#OperationDost
Given the tweet "My latest report for is a must-read I analysed the first EU safety update report for   va"; return a list of possible hashtags,#Pfizer #BioNTech
Given the tweet ", tre anni fa nel Basso Lodigiano il primo caso in Italia. La zona rossa, l'isolamento... A Codogno, dove tutto ebbe inizio."; return a list of possible hashtags,#Covid #IoSeguoTgr
Given the tweet "maange poori karo1) New calender of NTPC JE TT ALP GRP D recruitment and exam plus result"; return a list of possible hashtags,#RailwayNewRojgarDo
Given the tweet ""; return a list of possible hashtags,#SoignantsSuspendus
Given the tweet "Si vas a usar el cubreboca, hazlo bien.Recuerda que la pandemia por -19 no termina.@natycastrejonv"; return a list of possible hashtags,#COVID #PrimeroElPueblo
Given the tweet "It's very difficult, unless you have experienced   to imagine how a child can change overnight after a virus"; return a list of possible hashtags,#Pans #Pandas
Given the tweet "Covid grillt das  - Nachweis von -CoV-2-Virusproteinen und Sequenzen in menschlichen Hirnstammkernen ua der dorsa"; return a list of possible hashtags,#Hirn #SARS
Given the tweet "la HAS envisage de lever l'injection obligatoire chez les soignants.Les lignes bougent-elles enfin ?"; return a list of possible hashtags,#COVID19 #Reintegrez
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
Given the tweet "Just a reminder that until Covid came along that  had never previously managed to sell anything."; return a list of possible hashtags,#Moderna
Given the tweet "maange poori karo1) New calender of NTPC JE TT ALP GRP D recruitment a"; return a list of possible hashtags,#RailwayNewRojgarDo #RailwayNewRojgarDo
Given the tweet "My latest report for is a must-read I analysed the first EU safety update report for   va"; return a list of possible hashtags,#Pfizer #BioNTech
Given the tweet "FREE ONLINE EVENT    from a Clinical Perspective  7pm GMT Wed 22nd Feb 2023 Speaker  : Professor Jack"; return a list of possible hashtags,#LongCOVID
Given the tweet "Unacceptable. please confirm whether this is true ASAP. Our  has gone above and beyond to pro"; return a list of possible hashtags,#HeartOfTheEast
Given the tweet "'Innocent' Ghana had been working towards good policies till Covid-19 and Russia-Ukraine war hit - IMF Boss"; return a list of possible hashtags,#MetroNews
Given the tweet "Pešta má covid, na KSW zápasit nebude! ://t.co/Q6KpuWfOPh"; return a list of possible hashtags,#ViktorPesta #KSW
Given the tweet "Way to go Jonathan. Long Covid is real and it is terrible and more people need to know what could happen to them."; return a list of possible hashtags,#BringBack
Given the tweet "Watch the  vaccine propaganda in the sober light of 2023 and tell me the world didn't lose its mind... If you think th"; return a list of possible hashtags,#covid
Given the tweet "la HAS envisage de lever l'injection obligatoire chez les soignants.Les lignes bougent-elles enfin ?"; return a list of possible hashtags,#COVID19 #Reintegrez
Given the tweet "Me encuentro entrevista con y para , hablaremos sobre las accion"; return a list of possible hashtags,#EnVivo
Given the tweet "us, the entire world is one family. We have helped citizens of other nations during Covid :PM Modi.via NaMo App"; return a list of possible hashtags,#OperationDost
Given the tweet "Reopening Sterlite can contribute to copper production and , as it played a crucial role in producing oxygen during the COVID crisis."; return a list of possible hashtags,#Atmanirbharta
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
